Token,Type,Code
54273,EQ,ASHOKLEY
70401,EQ,AUROPHARMA
4464129,EQ,OIL
401153,EQ,ABIRLANUVO
5633,EQ,ACC
6401,EQ,ADANIENT
2763265,EQ,CANBK
3832833,EQ,KSCL
348929,EQ,HINDALCO
2079745,EQ,AJANTPHARM
408065,EQ,INFY
25601,EQ,AMARAJABAT
3400961,EQ,M&MFIN
3057409,EQ,MCLEODRUSS
40193,EQ,APOLLOHOSP
681985,EQ,PIDILITIND
975873,EQ,ZEEL
60417,EQ,ASIANPAINT
2815745,EQ,MARUTI
2955009,EQ,NIITTECH
633601,EQ,ONGC
1510401,EQ,AXISBANK
3699201,EQ,IBREALEST
871681,EQ,TATACHEM
3637249,EQ,TV18BRDCST
519937,EQ,M&M
593665,EQ,NCC
558337,EQ,BOSCHLTD
134657,EQ,BPCL
7458561,EQ,INFRATEL
1215745,EQ,CONCOR
737793,EQ,RELCAPITAL
2977281,EQ,NTPC
3689729,EQ,PAGEIND
197633,EQ,DABUR
2730497,EQ,PNB
758529,EQ,SAIL
70401,EQ,AUROPHARMA
345089,EQ,HEROMOTOCO
315393,EQ,GRASIM
2760193,EQ,ALBK
3771393,EQ,DLF
340481,EQ,HDFC
341249,EQ,HDFCBANK
3861249,EQ,ADANIPORTS
4451329,EQ,ADANIPOWER
1195009,EQ,BANKBARODA
1850625,EQ,HCLTECH
2997505,EQ,JETAIRWAYS
108033,EQ,BHARATFORG
3675137,EQ,MINDTREE
2911489,EQ,BIOCON
3924993,EQ,NMDC
837889,EQ,SRF
1837825,EQ,SYNDIBANK
320001,EQ,CASTROLIND
884737,EQ,TATAMOTORS
5215745,EQ,COALINDIA
3876097,EQ,COLPAL
2752769,EQ,UNIONBANK
2889473,EQ,UPL
951809,EQ,VOLTAS
1921537,EQ,WOCKPHARMA
215553,EQ,DHFL
2800641,EQ,DIVISLAB
225537,EQ,DRREDDY
2714625,EQ,BHARTIARTL
2747905,EQ,HEXAWARE
177665,EQ,CIPLA
1207553,EQ,GAIL
364545,EQ,HINDZINC
3060993,EQ,IDFC
2524673,EQ,ANDHRABANK
1214721,EQ,BANKINDIA
98049,EQ,BEL
112129,EQ,BHEL
636673,EQ,ORIENTBANK
140033,EQ,BRITANNIA
3677697,EQ,IDEA
424961,EQ,ITC
232961,EQ,EICHERMOT
1076225,EQ,MOTHERSUMI
3039233,EQ,GRANULES
2513665,EQ,HAVELLS
2906881,EQ,PTC
7712001,EQ,IBULHSGFIN
381697,EQ,IFCI
141569,EQ,RELINFRA
1041153,EQ,MARICO
1723649,EQ,JINDALSTEL
2661633,EQ,JISLJALEQS
2933761,EQ,JPASSOCIAT
1522689,EQ,SOUTHBANK
492033,EQ,KOTAKBANK
261889,EQ,FEDERALBNK
2796801,EQ,GODREJIND
4574465,EQ,JSWENERGY
160769,EQ,CESC
2061825,EQ,KTKBANK
6386689,EQ,L&TFH
2939649,EQ,LT
2170625,EQ,TVSMOTOR
3834113,EQ,POWERGRID
738561,EQ,RELIANCE
3463169,EQ,GMRINFRA
582913,EQ,MRF
779521,EQ,SBIN
806401,EQ,SIEMENS
1492737,EQ,SINTEX
4267265,EQ,BAJAJ-AUTO
2952193,EQ,ULTRACEMCO
1256193,EQ,ENGINERSIN
359937,EQ,HINDPETRO
325121,EQ,AMBUJACEM
49409,EQ,ARVIND
94977,EQ,BATAINDIA
3905025,EQ,CEATLTD
160001,EQ,CENTURYTEX
2029825,EQ,CADILAHC
3721473,EQ,DISHTV
2585345,EQ,GODREJCP
2883073,EQ,IGL
1346049,EQ,INDUSINDBK
1790465,EQ,KPIT
2672641,EQ,LUPIN
387841,EQ,INDIACEM
101121,EQ,BEML
486657,EQ,CUMMINSIND
1270529,EQ,ICICIBANK
3068673,EQ,ICIL
2905857,EQ,PETRONET
3660545,EQ,PFC
900609,EQ,TORNTPHARM
4454401,EQ,NHPC
857857,EQ,SUNPHARMA
3431425,EQ,SUNTV
952577,EQ,TATACOMM
873217,EQ,TATAELXSI
878593,EQ,TATAGLOBAL
7455745,EQ,PCJEWELLER
784129,EQ,VEDL
969473,EQ,WIPRO
3050241,EQ,YESBANK
3375873,EQ,RCOM
194561,EQ,CROMPGREAV
173057,EQ,EXIDEIND
377857,EQ,IDBI
3580417,EQ,CAIRN
3920129,EQ,IRB
3789569,EQ,HDIL
356865,EQ,HINDUNILVR
415745,EQ,IOC
3001089,EQ,JSWSTEEL
7670273,EQ,JUSTDIAL
3930881,EQ,RECLTD
41729,EQ,APOLLOTYRE
877057,EQ,TATAPOWER
1102337,EQ,SRTRANSFIN
895745,EQ,TATASTEEL
1895937,EQ,GLENMARK
2953217,EQ,TCS
3465729,EQ,TECHM
897537,EQ,TITAN
4632577,EQ,JUBLFOOD
511233,EQ,LICHSGFIN
4343041,EQ,TATAMTRDVR
4278529,EQ,UBL
256265,INDICES,NIFTY50
260105,INDICES,NIFTY BANK
261897,INDICES,NIFTYFMCG
257289,INDICES,NIFTYCOMMODITIES
261129,INDICES,NIFTYREALTY
260361,INDICES,NIFTYJUNIOR
261641,INDICES,NIFTYENERGY
261385,INDICES,NIFTYINFRA
262921,INDICES,NIFTYPSU BANK
259849,INDICES,NIFTYIT
263433,INDICES,NIFTYAUTO
262409,INDICES,NIFTYPHARMA
263689,INDICES,NIFTYMETAL
264969,INDICES,INDIAVIX